ano,mes,ano_mes,acao,desempenho,indicacoes
2020,08,202008,VIA VAREJO ON (VVAR3),3.59,8
2020,08,202008,B3 ON (B3SA3),-3.81,6
2020,08,202008,VALE ON (VALE3),0.64,5
2020,08,202008,BRASIL ON (BBAS3),0.58,5
2020,08,202008,PETROBRAS PN (PETR4),1.53,4
2020,08,202008,BRADESCO PN (BBDC4),-4.25,4
2020,08,202008,MAGAZINE LUIZA ON (MGLU3),17.18,3
2020,08,202008,LOCAWEB ON (LWSA3),24.93,3
2020,08,202008,ITAU UNIBANCO PN (ITUB4),-8.93,2
2020,08,202008,LOCALIZA ON (RENT3),-1.81,2
2020,07,202007,B3 ON (B3SA3),15.42,7
2020,07,202007,VIA VAREJO ON (VVAR3),27.5,7
2020,07,202007,PETROBRAS PN (PETR4),3.02,6
2020,07,202007,BRASIL ON (BBAS3),4.45,5
2020,07,202007,VALE ON (VALE3),8.57,5
2020,07,202007,GERDAU PN (GGBR4),8.99,4
2020,07,202007,RUMO ON (RAIL3),-1.2,3
2020,07,202007,LOCAWEB ON (LWSA3),10.88,3
2020,07,202007,BRADESCO PN (BBDC4),8.49,3
2020,07,202007,MAGAZINE LUIZA ON (MGLU3),12.77,3
2020,06,202006,VALE ON (VALE3),5.51,9
2020,06,202006,MAGAZINE LUIZA ON (MGLU3),11.34,7
2020,06,202006,B3 ON (B3SA3),20.94,5
2020,06,202006,BRADESCO PN (BBDC4),9.32,5
2020,06,202006,VIA VAREJO ON (VVAR3),23.47,4
2020,06,202006,PETROBRAS PN (PETR4),5.95,4
2020,06,202006,JBS ON (JBSS3),-3.73,4
2020,06,202006,BRASIL ON (BBAS3),4.25,4
2020,06,202006,WEG ON (WEGE3),21.07,3
2020,06,202006,BRF S.A. ON (BRFS3),-8.08,3
2020,05,202005,VALE ON (VALE3),18.15,8
2020,05,202005,JBS ON (JBSS3),-7.84,6
2020,05,202005,MAGAZINE LUIZA ON (MGLU3),29.48,6
2020,05,202005,BRADESCO PN (BBDC4),-0.96,5
2020,05,202005,B3 ON (B3SA3),18.56,5
2020,05,202005,BRASIL ON (BBAS3),8.21,4
2020,05,202005,VIA VAREJO ON (VVAR3),35.08,4
2020,05,202005,WEG ON (WEGE3),4.73,3
2020,05,202005,PETROBRAS PN (PETR4),12.69,3
2020,05,202005,P.ACUCAR - CBD ON (PCAR3),-4.05,3
2020,04,202004,VALE ON (VALE3),3.79,6
2020,04,202004,MAGAZINE LUIZA ON (MGLU3),27.47,6
2020,04,202004,BRADESCO PN (BBDC4),1.5,6
2020,04,202004,WEG ON (WEGE3),18.98,5
2020,04,202004,PETROBRAS PN (PETR4),29.02,4
2020,04,202004,JBS ON (JBSS3),19.92,4
2020,04,202004,ENGIE BRASIL ON (EGIE3),0.51,4
2020,04,202004,BRASIL ON (BBAS3),2.19,3
2020,04,202004,RUMO ON (RAIL3),0.71,3
2020,04,202004,B3 ON (B3SA3),7.02,3
2020,03,202003,ITAU UNIBANCO PN (ITUB4),-27.81,5
2020,03,202003,BRASIL ON (BBAS3),-40.23,4
2020,03,202003,VIA VAREJO ON (VVAR3),-61.77,4
2020,03,202003,HAPVIDA ON (HAPV3),-23.19,4
2020,03,202003,YDUQS PART ON (YDUQ3),-57.28,4
2020,03,202003,VALE ON (VALE3),-2.46,3
2020,03,202003,MAGAZINE LUIZA ON (MGLU3),-22.82,3
2020,03,202003,BRADESCO PN (BBDC4),-31.93,3
2020,03,202003,B3 ON (B3SA3),-24.02,3
2020,03,202003,PETROBRAS PN (PETR4),-44.79,3
2020,02,202002,MAGAZINE LUIZA ON (MGLU3),-9.46,7
2020,02,202002,VIA VAREJO ON (VVAR3),-1.36,4
2020,02,202002,PETROBRAS PN (PETR4),-10.93,3
2020,02,202002,VALE ON (VALE3),-11.86,3
2020,02,202002,LOJAS RENNER ON (LREN3),-7.22,3
2020,02,202002,LOJAS AMERICANAS PN (LAME4),-3.45,3
2020,02,202002,BRASIL ON (BBAS3),-2.72,2
2020,02,202002,COGNA ON (COGN3),-13.17,2
2020,02,202002,HAPVIDA ON (HAPV3),-8.11,2
2020,02,202002,B3 ON (B3SA3),-0.41,2
2020,01,202001,PETROBRAS PN (PETR4),-5.73,8
2020,01,202001,P.ACUCAR - CBD PN (PCAR4),-2.93,5
2020,01,202001,VALE ON (VALE3),-5.68,4
2020,01,202001,MAGAZINE LUIZA ON (MGLU3),17.06,4
2020,01,202001,CVC BRASIL ON (CVCB3),-16.67,3
2020,01,202001,B3 ON (B3SA3),13.03,3
2020,01,202001,BRASIL ON (BBAS3),-8.1,3
2020,01,202001,VIA VAREJO ON (VVAR3),25.34,2
2020,01,202001,ITAU UNIBANCO PN (ITUB4),-11.5,2
2020,01,202001,BRADESCO PN (BBDC4),-9.03,2
2019,12,201912,P.ACUCAR - CBD PN (PCAR4),9.34,5
2019,12,201912,PETROBRAS PN (PETR4),4.74,5
2019,12,201912,VIA VAREJO ON (VVAR3),26.79,4
2019,12,201912,B3 ON (B3SA3),-9.95,4
2019,12,201912,JBS ON (JBSS3),-9.41,4
2019,12,201912,CVC BRASIL ON (CVCB3),10.02,4
2019,12,201912,BRASIL ON (BBAS3),10.83,3
2019,12,201912,CPFL ENERGIA ON (CPFE3),12.54,3
2019,12,201912,LOJAS RENNER ON (LREN3),8.6,3
2019,12,201912,VALE ON (VALE3),9.04,2
2019,11,201911,PETROBRAS PN (PETR4),-3.54,10
2019,11,201911,BRADESCO PN (BBDC4),-5.07,5
2019,11,201911,VALE ON (VALE3),5.89,5
2019,11,201911,JBS ON (JBSS3),0.67,4
2019,11,201911,B3 ON (B3SA3),-1.36,4
2019,11,201911,P.ACUCAR - CBD PN (PCAR4),-3.41,4
2019,11,201911,CPFL ENERGIA ON (CPFE3),-4.33,3
2019,11,201911,BRASIL ON (BBAS3),-0.04,3
2019,11,201911,VIA VAREJO ON (VVAR3),18.73,2
2019,11,201911,BR MALLS PART ON (BRML3),1.43,2
2019,10,201910,PETROBRAS PN (PETR4),10.31,9
2019,10,201910,VALE ON (VALE3),-1.15,6
2019,10,201910,BRADESCO PN (BBDC4),6.91,6
2019,10,201910,B3 ON (B3SA3),10.89,4
2019,10,201910,ITAU UNIBANCO PN (ITUB4),3.47,4
2019,10,201910,CPFL ENERGIA ON (CPFE3),0.4,3
2019,10,201910,RUMO ON (RAIL3),-6.94,3
2019,10,201910,IRB BRASIL RESSEGUROS ON (IRBR3),0.35,3
2019,10,201910,P.ACUCAR - CBD PN (PCAR4),4.0,3
2019,10,201910,MAGAZINE LUIZA ON (MGLU3),20.72,3
2019,09,201909,PETROBRAS PN (PETR4),8.04,11
2019,09,201909,VALE ON (VALE3),4.78,8
2019,09,201909,BRADESCO PN (BBDC4),2.99,5
2019,09,201909,JBS ON (JBSS3),10.63,4
2019,09,201909,IRB BRASIL RESSEGUROS ON (IRBR3),4.13,4
2019,09,201909,LOCALIZA ON (RENT3),-3.17,3
2019,09,201909,CPFL ENERGIA ON (CPFE3),1.51,3
2019,09,201909,B3 ON (B3SA3),-1.97,3
2019,09,201909,BRASIL ON (BBAS3),-1.21,2
2019,09,201909,ITAU UNIBANCO PN (ITUB4),3.26,2
2019,08,201908,PETROBRAS PN (PETR4),-1.57,8
2019,08,201908,VALE ON (VALE3),-8.51,8
2019,08,201908,P.ACUCAR - CBD PN (PCAR4),-6.4,4
2019,08,201908,LOCALIZA ON (RENT3),6.91,4
2019,08,201908,IRB BRASIL RESSEGUROS ON (IRBR3),14.21,4
2019,08,201908,BRASIL ON (BBAS3),-5.3,3
2019,08,201908,BRADESCO PN (BBDC4),-4.45,3
2019,08,201908,CYRELA REALT ON (CYRE3),3.24,3
2019,08,201908,ITAU UNIBANCO PN (ITUB4),-0.24,3
2019,08,201908,B3 ON (B3SA3),6.19,2
2019,07,201907,PETROBRAS PN (PETR4),-4.85,10
2019,07,201907,VALE ON (VALE3),-3.88,5
2019,07,201907,BRADESCO PN (BBDC4),-8.15,5
2019,07,201907,BRASIL ON (BBAS3),-8.75,5
2019,07,201907,P.ACUCAR - CBD PN (PCAR4),-1.19,4
2019,07,201907,ITAU UNIBANCO PN (ITUB4),-3.93,4
2019,07,201907,GERDAU PN (GGBR4),-9.54,3
2019,07,201907,RUMO ON (RAIL3),5.74,2
2019,07,201907,B3 ON (B3SA3),12.92,2
2019,07,201907,LOJAS RENNER ON (LREN3),0.64,2
