ano,mes,ano_mes,acao,desempenho,indicacoes
2019,06,201906,PETROBRAS PN (PETR4),7.28,7
2019,06,201906,BRADESCO PN (BBDC4),2.04,5
2019,06,201906,BRASIL ON (BBAS3),4.32,5
2019,06,201906,LOJAS RENNER ON (LREN3),7.24,3
2019,06,201906,VALE ON (VALE3),5.76,3
2019,06,201906,KROTON ON (KROT3),6.09,3
2019,06,201906,IRB BRASIL RESSEGUROS ON (IRBR3),-3.32,3
2019,06,201906,BRASKEM PNA (BRKM5),-18.12,3
2019,06,201906,GERDAU PN (GGBR4),9.59,3
2019,06,201906,ITAU UNIBANCO PN (ITUB4),3.64,3
2019,05,201905,PETROBRAS PN (PETR4),-5.45,9
2019,05,201905,P.ACUCAR - CBD PN (PCAR4),-9.63,5
2019,05,201905,VALE ON (VALE3),-2.2,4
2019,05,201905,SABESP ON (SBSP3),-5.94,3
2019,05,201905,IRB BRASIL RESSEGUROS ON (IRBR3),8.5,3
2019,05,201905,GERDAU PN (GGBR4),-1.48,3
2019,05,201905,BRASIL ON (BBAS3),5.12,3
2019,05,201905,BRADESCO PN (BBDC4),4.04,3
2019,05,201905,BBSEGURIDADE ON (BBSE3),5.59,3
2019,05,201905,AMBEV ON (ABEV3),-4.98,3
2019,04,201904,PETROBRAS PN (PETR4),-3.32,15
2019,04,201904,BRASIL ON (BBAS3),1.97,7
2019,04,201904,VALE ON (VALE3),-1.63,4
2019,04,201904,SUZANO PAPEL ON (SUZB3),-11.54,3
2019,04,201904,P.ACUCAR - CBD PN (PCAR4),5.51,3
2019,04,201904,IRB BRASIL RESSEGUROS ON (IRBR3),2.9,3
2019,04,201904,BRADESCO PN (BBDC4),-0.52,3
2019,04,201904,BRF S.A. ON (BRFS3),37.09,3
2019,04,201904,BRASKEM PNA (BRKM5),-6.13,3
2019,04,201904,USIMINAS PNA (USIM5),-13.37,2
2019,03,201903,PETROBRAS PN (PETR4),3.7,13
2019,03,201903,SUZANO PAPEL ON (SUZB3),-2.33,5
2019,03,201903,BRASIL ON (BBAS3),-3.48,5
2019,03,201903,BRASKEM PNA (BRKM5),-6.43,4
2019,03,201903,NATURA ON (NATU3),-6.18,3
2019,03,201903,IRB BRASIL RESSEGUROS ON (IRBR3),5.19,3
2019,03,201903,ITAU UNIBANCO PN (ITUB4),-2.23,3
2019,03,201903,VALE ON (VALE3),8.13,2
2019,03,201903,LOCALIZA ON (RENT3),-4.07,2
2019,03,201903,RUMO ON (RAIL3),-1.59,2
2019,02,201902,PETROBRAS PN (PETR4),5.79,12
2019,02,201902,BRASIL ON (BBAS3),-1.5,5
2019,02,201902,BRASKEM PNA (BRKM5),4.09,4
2019,02,201902,BRADESCO PN (BBDC4),-4.36,3
2019,02,201902,NATURA ON (NATU3),2.28,3
2019,02,201902,ITAU UNIBANCO PN (ITUB4),-4.89,3
2019,02,201902,VALE ON (VALE3),3.52,2
2019,02,201902,LOCALIZA ON (RENT3),3.75,2
2019,02,201902,GERDAU PN (GGBR4),-3.26,2
2019,02,201902,AMBEV ON (ABEV3),-1.6,2
2019,01,201901,PETROBRAS PN (PETR4),12.79,12
2019,01,201901,ITAU UNIBANCO PN (ITUB4),9.29,5
2019,01,201901,LOJAS RENNER ON (LREN3),7.31,4
2019,01,201901,BRADESCO PN (BBDC4),17.71,3
2019,01,201901,BRASIL ON (BBAS3),11.55,3
2019,01,201901,VALE ON (VALE3),-10.78,3
2019,01,201901,USIMINAS PNA (USIM5),7.11,3
2019,01,201901,MAGAZINE LUIZA ON (MGLU3),-0.83,2
2019,01,201901,AMBEV ON (ABEV3),13.85,2
2019,01,201901,B3 ON (B3SA3),17.38,2
2018,12,201812,PETROBRAS PN (PETR4),-8.39,9
2018,12,201812,ITAUSA PN (ITSA4),-1.91,4
2018,12,201812,VALE ON (VALE3),-3.41,4
2018,12,201812,B3 ON (B3SA3),-4.3,4
2018,12,201812,ITAU UNIBANCO PN (ITUB4),-1.38,4
2018,12,201812,ULTRAPAR ON (UGPA3),12.59,3
2018,12,201812,BRF S.A. ON (BRFS3),-1.08,3
2018,12,201812,BRASIL ON (BBAS3),4.43,3
2018,12,201812,BRADESCO PN (BBDC4),2.22,2
2018,12,201812,AMBEV ON (ABEV3),-7.52,2
2018,10,201810,ITAU UNIBANCO PN (ITUB4),11.64,8
2018,10,201810,GERDAU PN (GGBR4),-5.41,6
2018,10,201810,PETROBRAS PN (PETR4),30.96,5
2018,10,201810,B3 ON (B3SA3),13.42,4
2018,10,201810,IRB BRASIL RESSEGUROS ON (IRBR3),9.04,4
2018,10,201810,VALE ON (VALE3),-5.2,3
2018,10,201810,KLABIN S/A UNT (KLBN11),-6.13,3
2018,10,201810,P.ACUCAR - CBD PN (PCAR4),-10.22,3
2018,10,201810,MAGAZINE LUIZA ON (MGLU3),37.81,3
2018,10,201810,SUZANO PAPEL ON (SUZB3),-21.28,2
2018,09,201809,PETROBRAS PN (PETR4),9.5,7
2018,09,201809,B3 ON (B3SA3),8.24,5
2018,09,201809,ITAU UNIBANCO PN (ITUB4),4.44,4
2018,09,201809,VALE ON (VALE3),11.56,4
2018,09,201809,LOCALIZA ON (RENT3),5.93,3
2018,09,201809,VIAVAREJO UNT (VVAR11),-11.72,3
2018,09,201809,MRV ON (MRVE3),-5.46,3
2018,09,201809,FIBRIA ON (FIBR3),-4.62,3
2018,09,201809,IRB BRASIL RESSEGUROS ON (IRBR3),11.79,3
2018,09,201809,P.ACUCAR - CBD PN (PCAR4),7.15,3
2018,08,201808,PETROBRAS PN (PETR4),-2.13,7
2018,08,201808,ITAU UNIBANCO PN (ITUB4),-4.41,7
2018,08,201808,B3 ON (B3SA3),-8.53,6
2018,08,201808,VALE ON (VALE3),0.21,5
2018,08,201808,GERDAU PN (GGBR4),-2.99,4
2018,08,201808,VIAVAREJO UNT (VVAR11),-20.62,3
2018,08,201808,IRB BRASIL RESSEGUROS ON (IRBR3),11.31,3
2018,08,201808,LOJAS RENNER ON (LREN3),-8.42,2
2018,08,201808,MAGAZINE LUIZA ON (MGLU3),-1.52,2
2018,08,201808,BRASIL ON (BBAS3),-6.65,2
2018,07,201807,SUZANO PAPEL ON (SUZB3),-0.93,6
2018,07,201807,ITAU UNIBANCO PN (ITUB4),11.59,6
2018,07,201807,VALE ON (VALE3),10.59,5
2018,07,201807,PETROBRAS PN (PETR4),14.72,5
2018,07,201807,MAGAZINE LUIZA ON (MGLU3),3.34,4
2018,07,201807,B3 ON (B3SA3),16.33,4
2018,07,201807,ITAUSA PN (ITSA4),13.51,3
2018,07,201807,CEMIG PN (CMIG4),12.74,2
2018,07,201807,GERDAU PN (GGBR4),19.91,2
2018,07,201807,P.ACUCAR - CBD PN (PCAR4),6.75,2
2018,06,201806,SUZANO PAPEL ON (SUZB3),4.34,5
2018,06,201806,VALE ON (VALE3),-2.05,4
2018,06,201806,PETROBRAS PN (PETR4),-9.43,3
2018,06,201806,MAGAZINE LUIZA ON (MGLU3),18.05,3
2018,06,201806,KLABIN S/A UNT (KLBN11),-6.62,3
2018,06,201806,IRB BRASIL RESSEGUROS ON (IRBR3),0.27,3
2018,06,201806,B3 ON (B3SA3),-5.18,3
2018,06,201806,ITAU UNIBANCO PN (ITUB4),-6.11,3
2018,06,201806,GERDAU PN (GGBR4),-6.01,3
2018,06,201806,RAIADROGASIL ON (RADL3),6.84,2
2018,05,201805,PETROBRAS PN (PETR4),-17.23,6
2018,05,201805,ITAU UNIBANCO PN (ITUB4),-15.72,6
2018,05,201805,SUZANO PAPEL ON (SUZB3),4.97,4
2018,05,201805,VIAVAREJO UNT (VVAR11),-21.51,3
2018,05,201805,GERDAU PN (GGBR4),-10.76,3
2018,05,201805,CCR SA ON (CCRO3),-13.88,3
2018,05,201805,B3 ON (B3SA3),-13.95,3
2018,05,201805,BRASIL ON (BBAS3),-16.77,2
2018,05,201805,QUALICORP ON (QUAL3),-21.77,2
2018,05,201805,SID NACIONAL ON (CSNA3),-12.3,2
2018,04,201804,PETROBRAS PN (PETR4),7.29,5
2018,04,201804,ITAU UNIBANCO PN (ITUB4),-0.56,4
2018,04,201804,SUZANO PAPEL ON (SUZB3),23.68,4
2018,04,201804,GERDAU PN (GGBR4),7.42,3
2018,04,201804,B3 ON (B3SA3),-4.9,3
2018,04,201804,VIAVAREJO UNT (VVAR11),-1.76,3
2018,04,201804,SID NACIONAL ON (CSNA3),-0.23,2
2018,04,201804,BRASIL ON (BBAS3),-10.55,2
2018,04,201804,BRADESCO PN (BBDC4),-3.69,2
2018,04,201804,CCR SA ON (CCRO3),-2.74,2
2018,03,201803,PETROBRAS PN (PETR4),-0.23,5
2018,03,201803,B3 ON (B3SA3),4.18,4
2018,03,201803,ITAU UNIBANCO PN (ITUB4),1.88,3
2018,03,201803,BRASIL ON (BBAS3),-1.2,3
2018,03,201803,VIAVAREJO UNT (VVAR11),10.7,2
2018,03,201803,USIMINAS PNA (USIM5),-11.36,2
2018,03,201803,GERDAU PN (GGBR4),-6.57,2
2018,03,201803,SID NACIONAL ON (CSNA3),-13.3,2
2018,03,201803,FIBRIA ON (FIBR3),5.45,2
2018,03,201803,MAGAZINE LUIZA ON (MGLU3),7.53,2
2018,02,201802,PETROBRAS PN (PETR4),8.93,5
2018,02,201802,B3 ON (BVMF3),-1.76,4
2018,02,201802,ITAU UNIBANCO PN (ITUB4),0.38,3
2018,02,201802,BRASIL ON (BBAS3),5.54,3
2018,02,201802,USIMINAS PNA (USIM5),3.88,3
2018,02,201802,VIAVAREJO UNT (VVAR11),1.0,3
2018,02,201802,SMILES ON (SMLS3),2.59,2
2018,02,201802,GERDAU PN (GGBR4),15.42,2
2018,02,201802,COPEL PNB (CPLE6),3.43,2
2018,02,201802,CARREFOUR BR ON (CRFB3),-7.76,2
2018,01,201801,ITAU UNIBANCO PN (ITUB4),22.78,4
2018,01,201801,PETROBRAS PN (PETR4),22.36,3
2018,01,201801,SMILES ON (SMLS3),8.23,3
2018,01,201801,GERDAU PN (GGBR4),16.32,3
2018,01,201801,BRASKEM PNA (BRKM5),15.26,3
2018,01,201801,B3 ON (BVMF3),14.49,3
2018,01,201801,BRF S.A. ON (BRFS3),-3.42,2
2018,01,201801,RUMO ON (RAIL3),10.02,2
2018,01,201801,ITAUSA PN (ITSA4),22.46,2
2018,01,201801,BRASIL ON (BBAS3),24.7,2
2017,12,201712,Itaú Unibanco PN (ITUB4),3.52,5
2017,12,201712,Rumo ON (RAIL3),-0.38,3
2017,12,201712,Braskem PNA (BRKM5),-2.87,3
2017,12,201712,Petrobras PN (PETR4),4.68,3
2017,12,201712,CVC Brasil ON (CVCB3),8.42,3
2017,12,201712,Vale ON (VALE3),15.61,2
2017,12,201712,Ultrapar ON (UGPA3),6.84,2
2017,12,201712,Taesa UNIT (TAEE11),1.4,2
2017,12,201712,Gerdau PN (GGBR4),11.73,2
2017,12,201712,BR Malls Part. ON (BRML3),5.29,2
2017,11,201711,Petrobras PN (PETR4),-8.29,5
2017,11,201711,Itaú Unibanco PN (ITUB4),-1.82,5
2017,11,201711,Ser Educacional ON (SEER3),-4.41,3
2017,11,201711,Rumo ON (RAIL3),2.52,2
2017,11,201711,Lojas Americanas PN (LAME4),-15.64,2
2017,11,201711,Klabin UNIT (KLBN11),-4.73,2
2017,11,201711,Ecorodovias ON (ECOR3),0.54,2
2017,11,201711,Ambev ON (ABEV3),-1.63,1
2017,11,201711,Banco do Brasil ON (BBAS3),-12.59,1
2017,11,201711,B3 ON (BVMF3),-2.48,1
2017,10,201710,Petrobras PN (PETR4),9.61,5
2017,10,201710,Itaú Unibanco PN (ITUB4),-2.97,5
2017,10,201710,Via Varejo UNIT (VVAR11),-2.34,3
2017,10,201710,Banco do Brasil ON (BBAS3),-1.32,3
2017,10,201710,Usiminas PNA (USIM5),13.24,2
2017,10,201710,Tenda ON (TEND3),4.14,2
2017,10,201710,Iochpe-Maxion ON (MYPK3),4.19,2
2017,10,201710,Rumo ON (RAIL3),5.05,2
2017,10,201710,Lojas Americanas PN (LAME4),-8.68,2
2017,10,201710,B3 ON (BVMF3),-0.21,1
2017,09,201709,Petrobras PN (PETR4),12.09,5
2017,09,201709,Itaú Unibanco PN (ITUB4),7.47,5
2017,09,201709,Gerdau PN (GGBR4),-6.84,4
2017,09,201709,Rumo ON (RAIL3),17.04,2
2017,09,201709,MRV ON (MRVE3),2.0,2
2017,09,201709,Klabin UNIT (KLBN11),7.18,2
2017,09,201709,Carrefour BR ON (CRFB3),-1.84,2
2017,09,201709,Lojas Americanas PN (LAME4),8.33,2
2017,09,201709,Vale ON (VALE3),-9.15,1
2017,09,201709,Bradesco PN (BBDC4),4.43,1
2017,08,201708,Itaú Unibanco PN (ITUB4),9.09,6
2017,08,201708,Lojas Americanas PN (LAME4),13.4,4
2017,08,201708,Petrobras PN (PETR4),2.71,4
2017,08,201708,Usiminas PNA (USIM5),33.27,2
2017,08,201708,Vale ON (VALE3),12.08,2
2017,08,201708,Klabin UNIT (KLBN11),7.87,2
2017,08,201708,Bradesco PN (BBDC4),11.29,1
2017,08,201708,B3 ON (BVMF3),8.12,1
2017,08,201708,Banco do Brasil ON (BBAS3),7.57,1
2017,08,201708,Kroton ON (KROT3),20.02,1
2017,07,201707,Itaú Unibanco PN (ITUB4),1.59,9
2017,07,201707,Klabin UNIT (KLBN11),-1.42,3
2017,07,201707,Taesa UNIT (TAEE11),5.35,2
2017,07,201707,AES Tietê UNIT (TIET11),3.0,2
2017,07,201707,Weg ON (WEGE3),7.61,2
2017,07,201707,Ser Educacional ON (SEER3),4.45,2
2017,07,201707,Petrobras PN (PETR4),7.44,2
2017,07,201707,Gerdau PN (GGBR4),3.7,2
2017,07,201707,CVC Brasil ON (CVCB3),10.06,2
2017,07,201707,Raia Drogasil ON (RADL3),-1.58,2
2017,06,201706,Itaú Unibanco PN (ITUB4),3.42,7
2017,06,201706,Klabin UNIT (KLBN11),-2.81,4
2017,06,201706,Petrobras PN (PETR4),-4.55,4
2017,06,201706,Raia Drogasil ON (RADL3),-2.46,3
2017,06,201706,Vale PNA (VALE5),4.34,2
2017,06,201706,Weg ON (WEGE3),-6.84,2
2017,06,201706,Taesa UNIT (TAEE11),-2.91,2
2017,06,201706,Localiza ON (RENT3),3.84,2
2017,06,201706,Gerdau PN (GGBR4),7.76,2
2017,06,201706,Lojas Americanas PN (LAME4),-4.11,2
2017,05,201705,Itaú Unibanco PN (ITUB4),-9.42,8
2017,05,201705,Petrobras PN (PETR4),-7.23,6
2017,05,201705,Klabin UNIT (KLBN11),6.12,4
2017,05,201705,Raia Drogasil ON (RADL3),6.75,3
2017,05,201705,Taesa UNIT (TAEE11),3.07,2
2017,05,201705,Gerdau PN (GGBR4),-2.65,2
2017,05,201705,Iochpe-Maxion ON (MYPK3),-11.73,2
2017,05,201705,Banco do Brasil ON (BBAS3),-13.22,2
2017,05,201705,Lojas Americanas PN (LAME4),-13.3,2
2017,05,201705,Bradesco PN (BBDC4),-9.35,1
2017,04,201704,Petrobras PN (PETR4),-3.59,7
2017,04,201704,Itaú Unibanco PN (ITUB4),3.63,5
2017,04,201704,Banco do Brasil ON (BBAS3),-2.72,3
2017,04,201704,Sabesp ON (SBSP3),-7.29,2
2017,04,201704,Taesa UNIT (TAEE11),0.26,2
2017,04,201704,Raia Drogasil ON (RADL3),14.97,2
2017,04,201704,B3 ON (BVMF3),-1.45,2
2017,04,201704,Ecorodovias ON (ECOR3),4.42,2
2017,04,201704,Gerdau PN (GGBR4),-10.01,2
2017,04,201704,Vale PNA (VALE5),-4.17,1
2017,03,201703,Petrobras PN (PETR4),-4.55,8
2017,03,201703,Itaú Unibanco PN (ITUB4),-5.29,6
2017,03,201703,Telefônica Brasil PN (VIVT4),2.07,3
2017,03,201703,Banco do Brasil ON (BBAS3),2.29,3
2017,03,201703,Weg ON (WEGE3),3.2,2
2017,03,201703,Taesa UNIT (TAEE11),4.27,2
2017,03,201703,Gerdau PN (GGBR4),-15.91,2
2017,03,201703,BM&FBovespa ON (BVMF3),1.42,2
2017,03,201703,Equatorial ON (EQTL3),-1.23,2
2017,03,201703,Ambev ON (ABEV3),2.24,2
2017,02,201702,Petrobras PN (PETR4),1.07,8
2017,02,201702,Itaú Unibanco PN (ITUB4),9.29,5
2017,02,201702,BM&FBovespa ON (BVMF3),2.87,4
2017,02,201702,Raia Drogasil ON (RADL3),-9.31,2
2017,02,201702,Suzano Papel PNA (SUZB3),0.37,2
2017,02,201702,Itausa PN (ITSA4),10.42,2
2017,02,201702,Banco do Brasil ON (BBAS3),6.4,2
2017,02,201702,Bradesco PN (BBDC4),2.25,2
2017,02,201702,Vale PNA (VALE5),3.14,1
2017,02,201702,Ambev ON (ABEV3),3.72,1
2017,01,201701,Petrobras PN (PETR4),1.01,7
2017,01,201701,Raia Drogasil ON (RADL3),7.04,4
2017,01,201701,Itaú Unibanco PN (ITUB4),10.06,4
2017,01,201701,BM&FBovespa ON (BVMF3),12.06,3
2017,01,201701,Banco do Brasil ON (BBAS3),10.75,3
2017,01,201701,Bradesco PN (BBDC4),12.89,3
2017,01,201701,Suzano Papel PNA (SUZB3),-5.63,2
2017,01,201701,Transmissão Paulista PN (TRPL4),1.28,2
2017,01,201701,CCR ON (CCRO3),-2.82,2
2017,01,201701,Ambev ON (ABEV3),5.3,2
2016,12,201612,Petrobras PN (PETR4),-7.06,8
2016,12,201612,Banco do Brasil ON (BBAS3),-1.19,6
2016,12,201612,Itaú Unibanco PN (ITUB4),-3.18,5
2016,12,201612,Raia Drogasil ON (RADL3),-4.91,4
2016,12,201612,Gerdau PN (GGBR4),-20.3,3
2016,12,201612,Telefônica Brasil PN (VIVT4),-2.39,2
2016,12,201612,Suzano Papel PNA (SUZB5),10.51,2
2016,12,201612,Sabesp ON (SBSP3),-3.91,2
2016,12,201612,BM&FBovespa ON (BVMF3),0.47,2
2016,12,201612,Bradesco PN (BBDC4),-1.67,2
2016,11,201611,Petrobras PN (PETR4),-9.55,7
2016,11,201611,Itaú Unibanco PN (ITUB4),-7.72,5
2016,11,201611,Gerdau PN (GGBR4),23.14,4
2016,11,201611,Raia Drogasil ON (RADL3),-8.99,3
2016,11,201611,Banco do Brasil ON (BBAS3),-2.38,3
2016,11,201611,BB Seguridade ON (BBSE3),-11.98,3
2016,11,201611,Taesa UNIT (TAEE11),-8.28,2
2016,11,201611,Lojas Renner ON (LREN3),-16.74,2
2016,11,201611,BM&FBovespa ON (BVMF3),-11.27,2
2016,11,201611,Ecorodovias ON (ECOR3),-14.14,2
2016,10,201610,Petrobras PN (PETR4),30.36,7
2016,10,201610,Itaú Unibanco PN (ITUB4),18.97,5
2016,10,201610,Gerdau PN (GGBR4),24.38,3
2016,10,201610,Ecorodovias ON (ECOR3),6.52,3
2016,10,201610,BB Seguridade ON (BBSE3),7.56,3
2016,10,201610,Raia Drogasil ON (RADL3),6.91,2
2016,10,201610,Klabin UNIT (KLBN11),-3.46,2
2016,10,201610,BM&FBovespa ON (BVMF3),11.84,2
2016,10,201610,Cielo ON (CIEL3),-0.34,2
2016,10,201610,Banco do Brasil ON (BBAS3),28.46,2
2016,09,201609,Petrobras PN (PETR4),5.6,6
2016,09,201609,Cielo ON (CIEL3),-2.46,4
2016,09,201609,Itaú Unibanco PN (ITUB4),-0.88,4
2016,09,201609,BB Seguridade ON (BBSE3),2.5,4
2016,09,201609,Transmissão Paulista PN (TRPL4),-1.79,2
