ano,mes,ano_mes,corretora,desempenho_mes,desempenho_ano
2020,02,202002,Ativa Investimentos,-5.19,-8.49
2020,02,202002,BB Investimentos,-8.31,-6.27
2020,02,202002,CM Capital Corretora 3,-11.36,-11.36
2020,02,202002,Elite Investimentos,-5.55,-2.7
2020,02,202002,Genial Investimentos,-4.47,2.16
2020,02,202002,Guide Investimentos,-6.34,2.15
2020,02,202002,Mirae Corretora,-6.82,-6.17
2020,02,202002,Modalmais,-9.08,-13.25
2020,02,202002,MyCAP Investimentos 3,-7.34,-7.34
2020,02,202002,Necton,-5.57,-5.34
2020,02,202002,Nova Futura Investimentos,-5.11,4.08
2020,02,202002,Planner Corretora,-6.02,-13.38
2020,02,202002,Safra Corretora,-9.17,-9.71
2020,02,202002,Santander Corretora,-9.51,-10.63
2020,02,202002,Socopa Corretora,-14.33,-18.9
2020,02,202002,Terra Investimentos,-12.08,-11.02
2020,02,202002,XP Investimentos,-6.63,-4.38
2020,01,202001,Ágora Investimentos,0.59,0.59
2020,01,202001,Ativa Investimentos,-3.48,-3.48
2020,01,202001,BB Investimentos,2.22,2.22
2020,01,202001,Elite Investimentos,3.02,3.02
2020,01,202001,Genial Investimentos,6.94,6.94
2020,01,202001,Guide Investimentos,9.06,9.06
2020,01,202001,Mirae Corretora,0.69,0.69
2020,01,202001,Modalmais,-4.58,-4.58
2020,01,202001,Necton,0.24,0.24
2020,01,202001,Nova Futura Investimentos,9.68,9.68
2020,01,202001,Planner Corretora,-7.83,-7.83
2020,01,202001,Safra Corretora,-0.6,-0.6
2020,01,202001,Santander Corretora,-1.24,-1.24
2020,01,202001,Socopa Corretora,-5.33,-5.33
2020,01,202001,Terra Investimentos,1.21,1.21
2020,01,202001,XP Investimentos,2.41,2.41
2019,12,201912,Ágora Investimentos,6.15,30.85
2019,12,201912,Ativa Investimentos,4.17,22.23
2019,12,201912,BB Investimentos,12.23,41.73
2019,12,201912,Elite Investimentos,4.44,37.63
2019,12,201912,Genial Investimentos,14.62,38.11
2019,12,201912,Guide Investimentos,12.31,31.07
2019,12,201912,Mirae Corretora,11.55,21.95
2019,12,201912,Modalmais,7.93,93.53
2019,12,201912,Necton,1.49,-3.52
2019,12,201912,Nova Futura Investimentos,9.33,68.63
2019,12,201912,Planner Corretora,13.27,32.43
