ano,mes,ano_mes,corretora,descricao
2012,03,201203,Guide Investimentos,"Entram: Pão de Açúcar PN, Vale PNA, Iochpe Maxion ON"
2012,03,201203,Guide Investimentos,"Saem: Eletrobrás PNB, Multiplus ON, Coelce PNA"
2012,03,201203,Planner Corretora,"Entram: Eletropaulo PN, Dasa ON"
2012,03,201203,Planner Corretora,"Saem: AES Tietê PN, JSL ON"
2012,03,201203,Rico Corretora,"Entram: Dasa ON, Ambev PN"
2012,03,201203,Rico Corretora,"Saem: Cetip ON, Multiplus ON"
2012,03,201203,Santander Corretora,"Entram: Kroton UNIT, Cetip ON, MRV ON, Cia. Hering ON"
2012,03,201203,Santander Corretora,"Saem: Petrobras ON, Lojas Renner ON, Iochpe Maxion ON, Eztec ON"
2012,03,201203,Souza Barros CCT,Entram: —
2012,03,201203,Souza Barros CCT,Saem: —
2012,03,201203,XP Investimentos,"Entram: Petrobras ON, M. Dias Branco ON, Ideiasnet ON"
2012,03,201203,XP Investimentos,"Saem: LLX Log. ON, Aliansce ON, Telefônica BR PN"
2012,04,201204,Ágora Investimentos,"Entram: Cosan ON, Cielo ON, Ljs. Americanas PN, Cyrela Realty ON, TIM Part. ON"
2012,04,201204,Ágora Investimentos,"Saem: Lojas Renner ON, Cetip ON, Alpargatas PN, Vale PNA, OGX Petróleo ON"
2012,04,201204,Ativa Investimentos,"Entram: Magazine Luiza ON, Itaú Unibanco PN, Rossi Residencial ON, BR Malls Part. ON"
2012,04,201204,Ativa Investimentos,"Saem: PDG Realty ON, Copel PNB, Ljs. Americanas PN, BRF ON"
2012,04,201204,Citi Corretora,"Entram: Klabin PN, Telefônica BR PN, Multiplan ON, Iochpe Maxion ON"
2012,04,201204,Citi Corretora,"Saem: Itaú Unibanco PN, Sabesp ON, Iguatemi ON, Petrobras PN"
2012,04,201204,Genial Investimentos,"Entram: OGX Petróleo ON, Gerdau Met. PN, Marcopolo PN"
2012,04,201204,Genial Investimentos,"Saem: Petrobras PN, Banco do Brasil ON, Bradespar PN"
2012,04,201204,Guide Investimentos,"Entram: Oi PN, Raia Drogasil ON, BM&FBovespa ON, AES Tietê PN"
2012,04,201204,Guide Investimentos,"Saem: Pão de Açúcar PN, Vale PNA, Iochpe Maxion ON, Telefônica BR PN"
2012,04,201204,Planner Corretora,"Entram: Cesp PNB, BRF ON, LLX Logística ON"
2012,04,201204,Planner Corretora,"Saem: ALL ON, PDG Realty ON, Dasa ON"
2012,04,201204,Rico Corretora,"Entram: Helbor ON, Valid ON, Multiplus ON, Cetip ON"
2012,04,201204,Rico Corretora,"Saem: Dasa ON, Eztec ON, Ambev PN, Vale PNA"
2012,04,201204,Santander Corretora,"Entram: Petrobras PN, Iochpe Maxion ON, Embraer ON"
2012,04,201204,Santander Corretora,"Saem: Cetip ON, MRV ON, Cia. Hering ON"
2012,04,201204,Souza Barros CCT,Entram: CCR ON
2012,04,201204,Souza Barros CCT,Saem: Pão de Açúcar PN
2012,04,201204,XP Investimentos,"Entram: Redecard ON, Pão de Açúcar PN"
2012,04,201204,XP Investimentos,"Saem: Coelce PNA, M. Dias Branco ON"
2012,05,201205,Ágora Investimentos,"Entram: Alpargatas PN, Cemig PN"
2012,05,201205,Ágora Investimentos,"Saem: Cosan ON, Cyrela Realty ON"
2012,05,201205,Ativa Investimentos,"Entram: CCR ON, Petrobras PN, TIM Part. ON, Pão de Açúcar PN"
2012,05,201205,Ativa Investimentos,"Saem: Itaú Unibanco PN, Rossi Residencial ON, BR Malls Part. ON, Totvs ON"
2012,05,201205,Citi Corretora,"Entram: Cosan ON, Iguatemi ON, MPX Energia ON, M. Dias Branco ON"
2012,05,201205,Citi Corretora,"Saem: Klabin PN, Marfrig ON, Telefônica BR PN, Multiplan ON"
2012,05,201205,Genial Investimentos,Entram: Lojas Renner ON
2012,05,201205,Genial Investimentos,Saem: Ultrapar ON
2012,05,201205,Guide Investimentos,"Entram: Itaú Unibanco PN, Eletropaulo PN, Randon Part. PN, Paranapanema ON"
2012,05,201205,Guide Investimentos,"Saem: Oi PN, Raia Drogasil ON, BM&FBovespa ON, BRF ON"
2012,05,201205,Planner Corretora,"Entram: Telefônica BR PN, CSN ON, Iochpe Maxion ON"
2012,05,201205,Planner Corretora,"Saem: Eletropaulo PN, BRF ON, LLX Logística ON"
2012,05,201205,Rico Corretora,"Entram: TIM Part. ON, Vale PNA, AES Tietê PN"
2012,05,201205,Rico Corretora,"Saem: Valid ON, Multiplus ON, Cetip ON"
2012,05,201205,Santander Corretora,Entram: Pão de Açúcar PN
2012,05,201205,Santander Corretora,Saem: Petrobras PN
2012,05,201205,Souza Barros CCT,"Entram: Odontoprev ON, BR Malls Part. ON"
2012,05,201205,Souza Barros CCT,"Saem: Localiza ON, TIM Part. ON"
2012,05,201205,XP Investimentos,"Entram: Comgas PNA, BR Properties ON, SulAmérica UNIT"
2012,05,201205,XP Investimentos,"Saem: Cosan ON, Petrobras ON, Ideiasnet ON"
2012,06,201206,Ágora Investimentos,"Entram: Anhanguera ON, Raia Drogasil ON, Localiza ON"
2012,06,201206,Ágora Investimentos,"Saem: Alpargatas PN, TIM Part. ON, Ljs. Americanas PN"
2012,06,201206,Ativa Investimentos,"Entram: Cemig PN, Copel PNB, Ambev PN"
2012,06,201206,Ativa Investimentos,"Saem: Magazine Luiza ON, Petrobras PN, Pão de Açúcar PN"
2012,06,201206,Citi Corretora,"Entram: Tractebel ON, TIM Part. ON, Vale PNA, CCR ON"
2012,06,201206,Citi Corretora,"Saem: Cosan ON, Iguatemi ON, Iochpe Maxion ON, MPX Energia ON"
2012,06,201206,Genial Investimentos,"Entram: Ultrapar ON, Vale PNA, Guararapes ON"
2012,06,201206,Genial Investimentos,"Saem: OGX Petróleo ON, Gerdau Met. PN, Lojas Renner ON"
2012,06,201206,Guide Investimentos,"Entram: Pão de Açúcar PN, Gerdau PN"
2012,06,201206,Guide Investimentos,"Saem: Itaú Unibanco PN, Randon Part. PN"
2012,06,201206,Planner Corretora,"Entram: Vale PNA, Totvs ON, Ambev PN, Cemig PN"
2012,06,201206,Planner Corretora,"Saem: Cesp PNB, Telefônica BR PN, CSN ON, Iochpe Maxion ON"
2012,06,201206,Rico Corretora,"Entram: Cemig PN, BR Malls Part. ON, Eztec ON"
2012,06,201206,Rico Corretora,"Saem: Helbor ON, TIM Part. ON, AES Tietê PN"
2012,06,201206,Santander Corretora,"Entram: Marcopolo PN, CCR ON"
2012,06,201206,Santander Corretora,"Saem: Embraer ON, Iochpe Maxion ON"
2012,06,201206,Souza Barros CCT,Entram: Weg ON
2012,06,201206,Souza Barros CCT,Saem: BR Malls Part. ON
2012,06,201206,XP Investimentos,"Entram: Ultrapar ON, BRF ON"
2012,06,201206,XP Investimentos,"Saem: Comgas PNA, Pão de Açúcar PN"
2012,07,201207,Ágora Investimentos,"Entram: ABC Brasil PN, Fleury ON, BR Malls Part. ON"
2012,07,201207,Ágora Investimentos,"Saem: Cielo ON, Cemig PN, Localiza ON"
2012,07,201207,Ativa Investimentos,"Entram: Vale PNA, Itaú Unibanco PN"
2012,07,201207,Ativa Investimentos,"Saem: TIM Part. ON, Cemig PN"
2012,07,201207,Citi Corretora,Entram: MRV ON
2012,07,201207,Citi Corretora,Saem: Tractebel ON
2012,07,201207,Genial Investimentos,Entram: Itaú Unibanco PN
2012,07,201207,Genial Investimentos,Saem: Ultrapar ON
2012,07,201207,Guide Investimentos,Entram: Dasa ON
2012,07,201207,Guide Investimentos,Saem: Gerdau PN
2012,07,201207,Planner Corretora,"Entram: TIM Part. ON, Pão de Açúcar PN, PDG Realty ON"
2012,07,201207,Planner Corretora,"Saem: Totvs ON, Ambev PN, OGX Petróleo ON"
